EmbeddingDimension,RepitionIndex,TrainingFraction,TrainACC,TrainAUC,TestACC,TestAUC,Label
4,2,0.75,0.889355540275574,0.956129789352417,0.814049601554871,0.884912192821503,LearntEmbedding
4,2,1,0.994624137878418,0.999428033828735,0.809917330741882,0.86735874414444,LearntEmbedding
4,2,0.25,0.995607852935791,0.999721646308899,0.809917330741882,0.872822880744934,LearntEmbedding
4,2,0.5,0.997863590717316,0.999848961830139,0.772727251052856,0.845536470413208,LearntEmbedding
4,1,0.25,0.984816253185272,0.998750150203705,0.764462828636169,0.835530400276184,LearntEmbedding
4,1,1,0.986475884914398,0.998876869678497,0.822314023971558,0.889898300170898,LearntEmbedding
4,1,0.5,0.894271373748779,0.96125602722168,0.797520637512207,0.861928820610046,LearntEmbedding
4,1,0.75,0.993514478206634,0.999523878097534,0.793388426303864,0.83788675069809,LearntEmbedding
8,3,0.75,0.992878556251526,0.999508261680603,0.785123944282532,0.807424247264862,FrozenEmbedding
8,3,1,0.982590556144714,0.998480021953583,0.822314023971558,0.876920998096466,FrozenEmbedding
8,3,0.25,0.957946598529816,0.992319703102112,0.793388426303864,0.869646906852722,FrozenEmbedding
8,3,0.5,0.980662763118744,0.997919321060181,0.830578505992889,0.867051422595978,FrozenEmbedding
8,4,1,0.953256845474243,0.991158545017242,0.809917330741882,0.852127552032471,FrozenEmbedding
8,4,0.25,0.993004381656647,0.999662458896637,0.772727251052856,0.8165083527565,FrozenEmbedding
8,4,0.5,0.985094666481018,0.998773276805878,0.780991733074188,0.855201125144959,FrozenEmbedding
8,4,0.75,0.832787930965424,0.907772421836853,0.780991733074188,0.841540813446045,FrozenEmbedding
8,5,0.5,0.994723498821258,0.999602794647217,0.768595039844513,0.861416578292847,FrozenEmbedding
8,5,0.25,0.983126997947693,0.998401522636414,0.727272748947144,0.806126654148102,FrozenEmbedding
8,5,0.75,0.995130896568298,0.999652922153473,0.785123944282532,0.834779024124146,FrozenEmbedding
8,5,1,0.993203163146973,0.9993936419487,0.78925621509552,0.823201894760132,FrozenEmbedding
8,2,0.25,0.988950073719025,0.999057590961456,0.764462828636169,0.819411158561706,FrozenEmbedding
8,2,0.5,0.953574776649475,0.991131901741028,0.780991733074188,0.847312331199646,FrozenEmbedding
8,2,1,0.995965600013733,0.99967360496521,0.776859521865845,0.851410448551178,FrozenEmbedding
8,2,0.75,0.995912611484528,0.999668717384338,0.797520637512207,0.877501606941223,FrozenEmbedding
8,1,0.5,0.978874146938324,0.997539162635803,0.776859521865845,0.843419134616852,FrozenEmbedding
8,1,0.75,0.948493540287018,0.989473760128021,0.805785119533539,0.864968240261078,FrozenEmbedding
8,1,1,0.907875001430512,0.968479096889496,0.826446294784546,0.878287017345428,FrozenEmbedding
8,1,0.25,0.980622828006744,0.998011350631714,0.768595039844513,0.831876337528229,FrozenEmbedding
